"name","image","url","blurb"
"Va-11 Hall-A: Cyberpunk Bartender Action","https://i.imgur.com/bTNIGDO.jpeg","https://store.steampowered.com/app/447530/VA11_HallA_Cyberpunk_Bartender_Action/",""
"La-Mulana","https://i.imgur.com/WQLV4KX.jpeg","https://store.steampowered.com/app/230700/LaMulana/","*Indiana Jones music plays*"
"La-Mulana 2","https://i.imgur.com/I39Z3fl.jpeg","https://store.steampowered.com/app/835430/LaMulana_2/","*Indiana Jones music intensifies*"
"NIGHTMARE OPERATOR","https://i.imgur.com/hz6wUIa.jpeg","https://store.steampowered.com/app/2957360/NIGHTMARE_OPERATOR/","PSP-core, baby."
"Parking Garage Rally Circuit","https://i.imgur.com/OKNHFG0.jpeg","https://store.steampowered.com/app/2737300/Parking_Garage_Rally_Circuit/","Initial D. INITIAL D!"
"Dream Tactics","https://i.imgur.com/4t1JkAL.jpeg","https://store.steampowered.com/app/1897650/Dream_Tactics/",""
"ENA: Dream BBQ","https://i.imgur.com/e0lMoPl.jpeg","https://store.steampowered.com/app/2134320/ENA_Dream_BBQ/","Ugh. Another ENA troublemaker."
"Penny's Big Breakaway","https://i.imgur.com/jX7s3q1.jpeg","https://store.steampowered.com/app/1955230/Pennys_Big_Breakaway/",""
"The Big Catch","https://i.imgur.com/Wi1GOS3.jpeg","https://store.steampowered.com/app/2146290/The_Big_Catch/","Absolutely looking forward to this one."
"Harold Halibut","https://i.imgur.com/FGY5tCn.jpeg","https://store.steampowered.com/app/924750/Harold_Halibut/","Looks incredible."
"@melonkoi","https://i.imgur.com/xv74Zc5.png","https://twitter.com/melonkoi/status/1779322326309384563","Battle Network fans stay winning."
"Decline's Drops","https://i.imgur.com/KDXFJhi.png","https://twitter.com/moulinauxbulles/status/1781011293010366774","Punch your problems away."
"Precursor","https://i.imgur.com/42MRWyY.png","https://twitter.com/JanOrszulik/status/1781013720476315848","Incredible pixel art destruction."
"Bumpers & Broadswords Maximum","https://i.imgur.com/WUaWwex.png","https://hwilson.itch.io/bbmax","Remember Tin Pin Slammers from 'The World Ends with You'?"
"Ants Took My Eyeball","https://i.imgur.com/qVHSCkI.jpeg","https://store.steampowered.com/app/1627890/Ants_Took_My_Eyeball/",""
"Mojito the Cat","https://i.imgur.com/rbmWHbO.jpeg","https://store.steampowered.com/app/1798950/Mojito_the_Cat/",""
"Dungeons of Hinterberg","https://i.imgur.com/pqnjjyF.png","https://twitter.com/MicrobirdGames/status/1775143085489438885",""
"Sunset Devils","https://i.imgur.com/6CCErtj.jpeg","https://store.steampowered.com/app/2695810/Sunset_Devils/","Unique control scheme."
"Ruffy and the Riverside","https://i.imgur.com/GsQR3qD.jpeg","https://store.steampowered.com/app/1002260/Ruffy_and_the_Riverside/",""
"MINDWAVE","https://i.imgur.com/gGkxHrR.jpeg","https://store.steampowered.com/app/2701030/MINDWAVE/","Love me some WarioWare games."
"Knuckle Sandwich","https://i.imgur.com/6Rsbs72.jpeg","https://store.steampowered.com/app/1012570/Knuckle_Sandwich/","Love me some WarioWare games."
